title,authors,year,link
ON INCREASING THE EFFICIENCY OF FIELD DEVELOPMENT BASED ON GEOPHYSICAL RESEARCH,"Shahmuradov N., Shakarov H.",2024,https://elibrary.ru/item.asp?id=68564519
"POSSIBILITIES FOR RECLAMATION OF DRAFTED SPACE DISTURBED AS A RESULT OF OPEN MINING OF MINERAL RESOURCES, IN THE UNITED ARAB EMIRATES","Latyshev O.Yu., Latysheva P.A., Radaelli M.E., Luisetto M.",2023,https://elibrary.ru/item.asp?id=74516380
ЖОҒАРЫ СУЛАНҒАН КЕН ОРЫНДАРДЫ ИГЕРУ ПРОБЛЕМАЛАРЫ,Абдыгалиева А.К.,2020,https://elibrary.ru/item.asp?id=43136521
RECULTIVATION APPROACHES TO THE ELABORATION OF GYPSUM RAW DEPOSITS AS A PART OF INNOVATIVE TECHNOLOGIES FOR THE PRODUCTION OF BUILDING MATERIALS,"Ivanova O., Korotkova L., Khalikov R., Khakimova G.",2022,https://elibrary.ru/item.asp?id=47698715
PRELIMINARY SOFTENING OF FROZEN OVERBURDEN IN THE COURSE OF OPEN-PIT MINING OF MINERAL DEPOSITS OF THE NORTH,"Khosoev D.V., Kaimonov M.V.",2024,https://elibrary.ru/item.asp?id=75994420
ANALYSIS OF THE FIELD DEVELOPMENT TAKING INTO ACCOUNT THE FEATURES OF TRANSIENT PROCESSES,"Mammadov R.M., Sultanova A.V.",2024,https://elibrary.ru/item.asp?id=68531851
GEOECOLOGICAL METHODS TO REDUCE SAND AND WATER FLOW IN THE DEVELOPMENT OF WATERED OIL FIELDS IN ECUADOR,"Vorobev A.E., Zaruma M.T.",2020,https://elibrary.ru/item.asp?id=44663341
OVERVIEW OF TECHNOLOGICAL METHODS FOR THE DEVELOPMENT OF HIGH-VISCOSITY OIL AND NATURAL BITUMEN DEPOSITS,Sokhodon G.V.,2023,https://elibrary.ru/item.asp?id=50446292
DETERMINING MODERN STRESS FIELD WHEN MINING ORE DEPOSITS,"Khramtsov B.A., Lepetiukha D.S., Babushkin K.S.",2023,https://elibrary.ru/item.asp?id=54689693
COMBINING THE STAGES OF MINERAL DEPOSITS DEVELOPMENT,"Valiev N.G., Razorenov Iu.I., Belodedov A.A., Maslennikov S.A., Shokhov S.O.",2024,https://elibrary.ru/item.asp?id=73160568
DEVELOPMENT OF THE TECHNOLOGY OF INTEGRATED PROCESSING THE CHELKAR DEPOSIT POTASH ORE,"Assylkhankyzy A., Seitmagzimova G.M., Pochitalkina I.A., Seitmagzimov A.A.",2022,https://elibrary.ru/item.asp?id=49349431
САМАРЧУК ОЛТИН КОНИДА КОН БОСИМИ ТАЪСИРИНИ ҲИСОБГА ОЛГАН ҲОЛДА ОПТИМАЛ ҚАЗИБ ОЛИШ ВАРИАНТЛАРИНИ ТАНЛАШНИ ТАҲЛИЛ ҚИЛИШ,"Махмудов Д.Р., Исраилов М.А., Шомуродов Ш.М.Ў., Солихов Ж.Т.Ў.",2023,https://elibrary.ru/item.asp?id=59403393
PROSPECTS OF DASCHKESAN IRON ORE DEPOSIT DEVELOPMENT,Afandiyeva Z.J.,2022,https://elibrary.ru/item.asp?id=48124361
CURRENT STATE OF THE KIRMAKI SUITE DEVELOPMENT OF THE BUZOVNY-MASHTAGA DEPOSIT AND PROSPECTS FOR REMOVAL OF RESIDUAL RESERVES,"Pogorelova E., Shafiyev E.",2021,https://elibrary.ru/item.asp?id=45616033
ANALYSIS AND FORECAST OF INDICATORS FOR THE DEVELOPMENT OF THE ASSELSKAYA AREA OF ORENBURG OIL AND GAS CONDENSATE FIELD USING THE MATERIAL BALANCE METHOD,"Fetisov A.E., Khatmullina R.S., Yakubov R.N.",2023,https://elibrary.ru/item.asp?id=63797609
STUDY OF INCLINED DEPOSITS OPENING UNDER THE COMBINED MINING SYSTEM: KUREINSKY AREA CASE-STUDY,"Martyanov V.L., Markov S.O., Kolesnikov V.F., Tyuleneva E.A., Cehlár M., Janočko Ju., Márasová D., Cagáňová D.",2021,https://elibrary.ru/item.asp?id=47378373
DEVELOPMENT OF POLYMINERAL COMPOSITIONS FROM CLAYS OF THE UZBEKISTAN DEPOSIT FOR THE PURPOSE OF OBTAINING THERMOSTABLE DRILLING FLUID,"Toshev Sh., Abdulloev Kh.",2022,https://elibrary.ru/item.asp?id=50113477
SOME ASPECTS OF IMPROVING UNDERGROUND MINING DEPOSITS OF COMPLEX STRUCTURE WITH A CONCRETE FILLING,Hung Vo.T.,2024,https://elibrary.ru/item.asp?id=74333339
КРОНТОВ КОНИ ГЛАУКОНИТ ҲОМАШЁСИНИ ҚАЙТА ИШЛАБ АДСОРБЕНТ ОЛИШ ТЕХНОЛОГИЯСИНИ ЯРАТИШ,"Kurvandurdiev S.M.U., Babaev Z.K.",2022,https://elibrary.ru/item.asp?id=48557892
DEVELOPMENT OF A TECHNOLOGY FOR ENRICHMENT OF VERMICULITE ORE OF THE KARAUZYAK DEPOSIT,"Aripov A., Saidakhmedov A., Vokhidov B.",2021,https://elibrary.ru/item.asp?id=47695977
DETERMINATION OF THE OIL RECOVERY FACTOR TO INCREASE THE EFFICIENCY OF REGULATION OF THE DEVELOPMENT OF OIL AND GAS FIELDS,"Mansurova S.I., Mustafayeva R.E.",2022,https://elibrary.ru/item.asp?id=49278875
САРАЗМ - ОҒОЗИ КОР ДАР ИСТИХРОҶИ МАЪДАНҲОИ КӮҲӢ ДАР ТОҶИКИСТОН,"Ҳоҷиев А.К., Самиҳов Ш.Р., Гулмирзоев Қ.Ҳ.",2020,https://elibrary.ru/item.asp?id=44850056
ANALYSIS OF GEOMECHANICAL PROCESSES IN THE DEVELOPMENT OF COMPLEX-STRUCTURED ORE DEPOSITS,"Nasriddinov I., Karimov Sh., Dushanov D., Akberdiyev M.",2024,https://elibrary.ru/item.asp?id=68480045
IDENTIFICATION OF TECHNOLOGICAL INDICATORS’ CORRELATION DEPENDENCES OF PROJECTS FOR FIELD DEVELOPMENT WITH LOW-PERMEABILITY RESERVOIRS,"Kozhin V.N., Nikitin A.V., Kireev I.I., Roshchin P.V., Pchela K.V.",2022,https://elibrary.ru/item.asp?id=49721002
МҰНАЙ КЕН ОРЫНДАРЫН ИГЕРУДІ ОҢТАЙЛАНДЫРУ ҮШІН ДЕРЕКТЕРДІ ЖІКТЕУ,"Мейрамбек Н.М., Кенжебек Е.Ғ.",2021,https://elibrary.ru/item.asp?id=44928887
ИССЛЕДОВАНИЕ ОСОБЕННОСТЕЙ ФОРМИРОВАНИЯ ВОДОНЕФТЯНЫХ ЭМУЛЬСИЙ НА ПОЗДНЕЙ СТАДИИ РАЗРАБОТКИ НЕФТЯНЫХ МЕСТОРОЖДЕНИЙ И РАЗРАБОТКА ТЕХНОЛОГИЙ ИХ РАЗДЕЛЕНИЯ,Губайдулин Ф.Р.,2004,https://elibrary.ru/item.asp?id=15793684
РАЗРАБОТКА ЭФФЕКТИВНЫХ ТЕХНОЛОГИЙ ВЗРЫВНОГО ЗАВЕРШЕНИЯ РАЗРАБОТКИ ОКРУГЛЫХ КРУТОПАДАЮЩИХ МЕСТОРОЖДЕНИЙ,Токаренко А.В.,2010,https://elibrary.ru/item.asp?id=15571989
РАЗРАБОТКА МЕТОДА ОПРЕДЕЛЕНИЯ ЗОН ПОТЕНЦИАЛЬНОЙ АВАРИЙНОСТИ ПРИ РАЗРАБОТКЕ НЕФТЕГАЗОВЫХ МЕСТОРОЖДЕНИЙ ПО РЕЗУЛЬТАТАМ ГЕОДИНАМИЧЕСКОГО МОНИТОРИНГА ЗЕМНОЙ ПОВЕРХНОСТИ,Кузьмин Д.К.,2024,https://elibrary.ru/item.asp?id=74042445
РАЗРАБОТКА КЛИЕНТСКОЙ ЧАСТИ СППР ДЛЯ УПРАВЛЕНИЯ РАЗРАБОТКОЙ МЕСТОРОЖДЕНИЙ,Рыбина А.С.,2024,https://elibrary.ru/item.asp?id=72974176
ВЫДЕЛЕНИЕ ОБЪЕКТОВ РАЗРАБОТКИ С ЦЕЛЬЮ ИХ ИНТЕНСИФИКАЦИИ НА ПОЗДНЕЙ СТАДИИ РАЗРАБОТКИ МЕСТОРОЖДЕНИЯ,Рахмаев Л.Г.,2017,https://elibrary.ru/item.asp?id=30522402
РАЗРАБОТКА РОССЫПНЫХ МЕСТОРОЖДЕНИЙ СЕВЕРА КОМПЛЕКСАМИ ГЛУБОКОЙ РАЗРАБОТКИ ПЛАСТОВ,Ковлеков И.И.,2021,https://elibrary.ru/item.asp?id=47200244
АНАЛИЗ НАУЧНЫХ РАЗРАБОТОК И ПРАКТИКИ В РЕШЕНИИ ЭКОЛОГО-ЭКОНОМИЧЕСКИХ ЗАДАЧ ПРИ РАЗРАБОТКЕ БУРОУГОЛЬНЫХ МЕСТОРОЖДЕНИЙ,Боднарук Н.М.,2009,https://elibrary.ru/item.asp?id=13073438
РАЗРАБОТКА И ИССЛЕДОВАНИЕ МЕХАНИЗИРОВАННЫХ СПОСОБОВ ПОДЪЕМА ПРОДУКЦИИ ПРИ РАЗРАБОТКЕ МЕСТОРОЖДЕНИЙ ТЯЖЕЛЫХ И ВЫСОКОВЯЗКИХ НЕФТЕЙ СКВАЖИННЫМИ МЕТОДАМИ,Басос Г.Ю.,2003,https://elibrary.ru/item.asp?id=15786730
РАЗРАБОТКА АЛГОРИТМА РАСЧЕТА КОМПОНЕНТООДАЧИ ДЛЯ СОВЕРШЕНСТВОВАНИЯ РАЗРАБОТКИ ШЕЛЬФОВЫХ НЕФТЕГАЗОВЫХ МЕСТОРОЖДЕНИЙ СЕВЕРНОГО КАСПИЯ,"Грицай И.А., Белугин А.Д., Магдеев И.Д., Чупеев А.В.",2024,https://elibrary.ru/item.asp?id=68009373
"РАЗРАБОТКА ТЕХНОЛОГИЧЕСКИХ МЕТОДОВ ИЗВЛЕЧЕНИЯ ЗАПАСОВ, ПОДРАБОТАННЫХ КАМЕРНОЙ СИСТЕМОЙ РАЗРАБОТКИ, В УСЛОВИЯХ ТРЕТЬЕГО КАЛИЙНОГО ГОРИЗОНТА СТАРОБИНСКОГО МЕСТОРОЖДЕНИЯ",Петровский А.Б.,2023,https://elibrary.ru/item.asp?id=53836034
РАЗРАБОТКА КОМПЛЕКСНОГО ПАРАМЕТРА ОЦЕНКИ ГЕОЛОГО-ТЕХНИЧЕСКИХ МЕРОПРИЯТИЙ ДЛЯ НЕФТЯНОГО МЕСТОРОЖДЕНИЯ C ДЛИТЕЛЬНОЙ ИСТОРИЕЙ РАЗРАБОТКИ,"Шакиров Е.Р., Еленец А.А., Тухватуллин А.М., Швец К.П.",2023,https://elibrary.ru/item.asp?id=54235180
ТЕХНИКО-ЭКОНОМИЧЕСКОЕ ОБОСНОВАНИЕ ЭФФЕКТИВНОСТИ РАЗРАБОТКИ ТУЛЬСКОГО И БОБРИКОВСКОГО ГОРИЗОНТОВ БИКЛЯНСКОГО МЕСТОРОЖДЕНИЯ КАК ЕДИНОГО ЭКСПЛУАТАЦИОННОГО ОБЪЕКТА РАЗРАБОТКИ,"Кизим О.В., Исаева В.В., Хакимзянов И.Н., Кирейцев М.С., Музоваткина Е.Н.",2019,https://elibrary.ru/item.asp?id=42617901
РАЗРАБОТКА ЭНЕРГОЭФФЕКТИВНЫХ МЕТОДОВ И ТЕХНОЛОГИЧЕСКИХ СХЕМ ПОДДЕРЖАНИЯ ПЛАСТОВОГО ДАВЛЕНИЯ ПРИ РАЗРАБОТКЕ НЕФТЯНЫХ МЕСТОРОЖДЕНИЙ,Коннов В.А.,2012,https://elibrary.ru/item.asp?id=19379048
РАЗРАБОТКА МЕТОДОВ ОПРЕДЕЛЕНИЯ ФИЗИКО-ХИМИЧЕСКИХ ХАРАКТЕРИСТИК ЖИДКИХ ФЛЮИДОВ ПРИ КОНТРОЛЕ ЗА РАЗРАБОТКОЙ МЕСТОРОЖДЕНИЙ УГЛЕВОДОРОДОВ,Долбилина И.Е.,2000,https://elibrary.ru/item.asp?id=19158766
"ВЛИЯНИЕ СИСТЕМЫ РАЗРАБОТКИ НЕФТЯНЫХ МЕСТОРОЖДЕНИЙ В ОСНОВНОЙ ПЕРИОД НА ПРОЦЕССЫ, ПРОТЕКАЮЩИЕ НА ПОЗДНЕЙ СТАДИИ РАЗРАБОТКИ","Лисовский Н.Н., Базив В.Ф., Яковлев А.В.",2008,https://elibrary.ru/item.asp?id=22980715
ПОВЫШЕНИЕ ЭФФЕКТИВНОСТИ РАЗРАБОТКИ СЛОЖНОПОСТРОЕННЫХ КАРБОНАТНЫХ КОЛЛЕКТОРОВ (НА ПРИМЕРЕ РАЗРАБОТКИ ЗАЛЕЖЕЙ 302-303 РОМАШКИНСКОГО МЕСТОРОЖДЕНИЯ),Хамидуллин М.М.,2006,https://elibrary.ru/item.asp?id=30308912
РАЗРАБОТКА ТЕХНОЛОГИИ И ТЕХНИКИ КАПИТАЛЬНОГО РЕМОНТА СКВАЖИН НА ПОЗДНЕЙ СТАДИИ РАЗРАБОТКИ ГАЗОКОНДЕНСАТНЫХ МЕСТОРОЖДЕНИЙ,Троцкий В.Ф.,1993,https://elibrary.ru/item.asp?id=30151350
ПЕРСПЕКТИВНЫЕ РАЗРАБОТКИ ЭНЕРГОСБЕРЕГАЮЩИХ ТЕХНОЛОГИЙ ПРИ РАЗРАБОТКЕ НЕФТЯНЫХ И ГАЗОВЫХ МЕСТОРОЖДЕНИЙ,Туманян Х.А.,2023,https://elibrary.ru/item.asp?id=60027785
"СПОСОБ ШАХТНОЙ РАЗРАБОТКИ МЕСТОРОЖДЕНИЙ, РАЗДЕЛЕНИЯ ПОРОД, ЗАКЛАДКИ ВЫРАБОТАННОГО ПРОСТРАНСТВА И ДРУГОГО ВИДА РАБОТЫ ГОРНОЙ РАЗРАБОТКИ (X)","Чжан Ц., Чжан Ц., Ци В., Ли М., Сунь Ц., Мэн Г.",2020,https://elibrary.ru/item.asp?id=44111817
РАЗРАБОТКА ПРОЕКТНОЙ ДОКУМЕНТАЦИИ НА СТРОИТЕЛЬСТВО СКВАЖИН С УЧЕТОМ ПРОЕКТА РАЗРАБОТКИ МЕСТОРОЖДЕНИЯ,"Герасимов Г.Т., Кузнецов Р.Ю., Овчинников П.В.",2010,https://elibrary.ru/item.asp?id=19602576
РАЗРАБОТКА ГЕОИНФОРМАЦИОННОЙ СИСТЕМЫ ПРОГНОЗИРОВАНИЯ ДИНАМИЧЕСКИХ ПРОЯВЛЕНИЙ В УГЛЕВМЕЩАЮЩЕМ МАССИВЕ ПРИ ПОДЗЕМНОЙ РАЗРАБОТКЕ УГОЛЬНЫХ МЕСТОРОЖДЕНИЙ,Журавлев Е.И.,2016,https://elibrary.ru/item.asp?id=30446279
РАЗРАБОТКА РАЦИОНАЛЬНЫХ ТЕХНОЛОГИЧЕСКИХ СХЕМ ВОЗВЕДЕНИЯ ЗАКЛАДОЧНЫХ МАССИВОВ ПРИ РАЗРАБОТКЕ РУДНЫХ МЕСТОРОЖДЕНИИ,"Кайназаров А.С., Болатова А.Б., Изжанов К.Е.",2018,https://elibrary.ru/item.asp?id=36630648
РАЗРАБОТКА КОМПЛЕКСНОЙ ТЕХНОЛОГИИ ТЕРМОГАЗОБАРОВОЗДЕЙСТВИЯ НА ПРИЗАБОЙНУЮ ЗОНУ ПЛАСТА НА ЗАВЕРШАЮЩЕЙ СТАДИИ РАЗРАБОТКИ НЕФТЯНЫХ МЕСТОРОЖДЕНИЙ,Гуторов А.Ю.,2009,https://elibrary.ru/item.asp?id=15936509
РАЗРАБОТКА ОБРАЗОВАТЕЛЬНОГО ПРИЛОЖЕНИЯ ДЛЯ ПРОГНОЗА ОСНОВНЫХ ПОКАЗАТЕЛЕЙ РАЗРАБОТКИ НЕФТЯНЫХ МЕСТОРОЖДЕНИЙ С ПРИМЕНЕНИЕМ ХАРАКТЕРИСТИК ВЫТЕСНЕНИЯ НЕФТИ ВОДОЙ,"Шумко В.С., Мамчистова Е.И.",2024,https://elibrary.ru/item.asp?id=78060944
РАЗРАБОТКА СПОСОБОВ ПРЕДУПРЕЖДЕНИЯ ГЕОДИНАМИЧЕСКИХ ЯВЛЕНИЙ ПРИ РАЗРАБОТКЕ УДАРООПАСНЫХ МЕСТОРОЖДЕНИЙ,"Христолюбов Е.А., Еременко А.А., Филиппов В.Н.",2020,https://elibrary.ru/item.asp?id=46580438
РАЗРАБОТКА ЭФФЕКТИВНЫХ МЕТОДОВ ВЗРЫВАНИЯ В СЛОЖНЫХ (ГЕОЛОГИЧЕСКИХ И ГОРНО-ТЕХНОЛОГИЧЕСКИХ) УСЛОВИЯХ РАЗРАБОТКИ МЕСТОРОЖДЕНИЙ ПОЛЕЗНЫХ ИСКОПАЕМЫХ,"Шевкун Е.Б., Бондаренко А.Н., Мирошников В.И., Леоненко Н.А.",1995,https://elibrary.ru/item.asp?id=44229510
О РАЗРАБОТКЕ НАЦИОНАЛЬНОЙ СИСТЕМЫ СТАНДАРТИЗАЦИИ В ОБЛАСТИ РАЗРАБОТКИ МЕТАНОУГОЛЬНЫХ МЕСТОРОЖДЕНИЙ,Белова Э.А.,2020,https://elibrary.ru/item.asp?id=48594318
РАЗРАБОТКА ПРОГРЕССИВНОЙ МОДЕЛИ УПРАВЛЕНИЯ РИСКАМИ ВОЗНИКНОВЕНИЯ ПРОФЕССИОНАЛЬНЫХ ЗАБОЛЕВАНИЙ У РАБОТНИКОВ ПРИ РАЗРАБОТКЕ УГОЛЬНЫХ МЕСТОРОЖДЕНИЙ,"Фомин А.И., Анисимов И.М.",2018,https://elibrary.ru/item.asp?id=36815283
РАЗРАБОТКА ЭНЕРГОЭФФЕКТИВНЫХ МЕТОДОВ И ТЕХНОЛОГИЧЕСКИХ СХЕМ ПОДДЕРЖАНИЯ ПЛАСТОВОГО ДАВЛЕНИЯ ПРИ РАЗРАБОТКЕ НЕФТЯНЫХ МЕСТОРОЖДЕНИЙ,Коннов В.А.,2012,https://elibrary.ru/item.asp?id=19278925
РАЗРАБОТКА СИСТЕМЫ УПРАВЛЕНИЯ БУРОВЫМ УСТРОЙСТВОМ ПРИ РАЗРАБОТКЕ ТРУДНОДОСТУПНЫХ ЗАПАСОВ МЕСТОРОЖДЕНИЙ УГЛЕВОДОРОДОВ,Крысин Н.И.,2016,https://elibrary.ru/item.asp?id=53940541
СОВЕРШЕНСТВОВАНИЕ РАЗРАБОТКИ МЕСТОРОЖДЕНИЙ ТРИЗ С ПРИМЕНЕНИЕМ СИСТЕМЫ РАЗРАБОТКИ НЕФТЯНЫХ ЗАЛЕЖЕЙ ГОРИЗОНТАЛЬНЫМИ СКВАЖИНАМИ С МНОГОЗОННЫМ ГРП,Абдушукуров А.А.,2018,https://elibrary.ru/item.asp?id=35092114
СПОСОБ РАЗРАБОТКИ КРУТОПАДАЮЩИХ МЕСТОРОЖДЕНИЙ ТВЕРДЫХ ПОЛЕЗНЫХ ИСКОПАЕМЫХ И АВТОМАТИЗИРОВАННЫЙ КОМПЛЕКС ГЛУБОКОЙ РАЗРАБОТКИ,Чебан А.Ю.,2015,https://elibrary.ru/item.asp?id=37426252
"ВЛИЯНИЕ ГЕОМЕХАНИЧЕСКИХ ЭФФЕКТОВ ПРИ РАЗРАБОТКЕ ГРУППЫ ПЛАСТОВ НА РИСКИ БУРЕНИЯ, РАЗРАБОТКИ И ИНТЕНСИФИКАЦИИ МЕСТОРОЖДЕНИЯ","Павлов В.А., Павлюков Н.А., Субботин М.Д., Самойлов М.И., Ягудин Р.А., Александров А.А., Головизнин А.Ю.",2022,https://elibrary.ru/item.asp?id=50015604
СПОСОБ РАЗРАБОТКИ МОЩНЫХ МЕСТОРОЖДЕНИЙ ПОЛЕЗНЫХ ИСКОПАЕМЫХ ПРИ КАМЕРНОЙ СИСТЕМЕ РАЗРАБОТКИ,"Вертлейб Л.К., Вильный Ю.П., Гамберг Р.М., Казикаев Д.М., Масокин В.И., Родзевилло И.Т., Суржин Г.Г., Уралов В.С., Чухлов Г.И., Щавинский Г.В.",1975,https://elibrary.ru/item.asp?id=39929526
"РАЗРАБОТКА РЕСУРСОСБЕРЕГАЮЩЕЙ И ЭКОЛОГИЧЕСКИ БЕЗОПАСНОЙ ТЕХНОЛОГИИ ПОДЗЕМНОЙ РАЗРАБОТКИ РОССЫПНОГО МЕСТОРОЖДЕНИЯ АЛМАЗОВ ""СОЛУР""","Николаева А.А., Петрова Л.В.",2012,https://elibrary.ru/item.asp?id=20763499
РАЗРАБОТКА РЕКОМЕНДАЦИЙ ПО ПОВЫШЕНИЮ ЭФФЕКТИВНОСТИ РАЗРАБОТКИ НЕФТЯНОГО МЕСТОРОЖДЕНИЯ ПЕРМСКОГО КРАЯ И ИХ ТЕХНИКО-ЭКОНОМИЧЕСКОЕ ОБОСНОВАНИЕ,Вотинова А.О.,2020,https://elibrary.ru/item.asp?id=44712609
ОБОСНОВАНИЕ ПРИНЯТОЙ МЕТОДОЛОГИИ ПРОГНОЗИРОВАНИЯ ТЕХНОЛОГИЧЕСКИХ ПОКАЗАТЕЛЕЙ РАЗРАБОТКИ ГАЗОКОНДЕНСАТНОГО МЕСТОРОЖДЕНИЯ ПРИ РАЗРАБОТКЕ МЕТОДОМ ДВОЙНОГО ЗАКАЧИВАНИЯ,Баширова А.Ф.,2023,https://elibrary.ru/item.asp?id=53958126
"РАЗРАБОТКА ТЕХНОЛОГИЧЕСКИХ РЕШЕНИЙ, ПОВЫШАЮЩИХ ЭФФЕКТИВНОСТЬ РАЗРАБОТКИ НЕФТЯНЫХ МЕСТОРОЖДЕНИЙ НА ЗАВЕРШАЮЩЕЙ СТАДИИ РАЗРАБОТКИ",Корецкий П.Э.,2024,https://elibrary.ru/item.asp?id=74509920
НАУЧНО-МЕТОДИЧЕСКИЙ ПОДХОД К РАЗРАБОТКЕ ПРОЕКТОВ ОПЫТНО-ПРОМЫШЛЕННЫХ ИСПЫТАНИЙ ОТКРЫТОЙ РАЗРАБОТКИ МЕСТОРОЖДЕНИЙ,"Рыльникова М.В., Олейник Д.Н., Файсханов А.М.",2024,https://elibrary.ru/item.asp?id=68486287
